"ensembl_gene_id","ensembl_gene_id_clean","gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"ENSG00000211950.2","ENSG00000211950","IGHV1-24",93.8108211285291,-10.0670252477725,1.31220572623204,-7.67183456566656,1.69553550235751e-14,3.22711272163704e-10,"down_in_tumor"
"ENSG00000133742.15","ENSG00000133742","CA1",14525.6571567543,-4.37374338206194,0.897920310751072,-4.87097054125381,1.11051398102697e-06,0.00146240466788706,"down_in_tumor"
"ENSG00000260092.1","ENSG00000260092","",272.844899609899,-2.30323857130279,0.473563783266573,-4.86362904573359,1.15252824138633e-06,0.00146240466788706,"down_in_tumor"
"ENSG00000166473.20","ENSG00000166473","PKD1L2",54.4933821109413,-3.28151720491081,0.700317236447648,-4.68575815948252,2.78925467407875e-06,0.00265439421058704,"down_in_tumor"
"ENSG00000240498.10","ENSG00000240498","CDKN2B-AS1",1062.20702597793,-3.9675958111189,0.84503997060561,-4.69515756547642,2.66401296713441e-06,0.00265439421058704,"down_in_tumor"
"ENSG00000007306.16","ENSG00000007306","CEACAM7",49209.2332372288,-3.58771423932246,0.777325469514633,-4.61545952117413,3.92226487204804e-06,0.00304470365313578,"down_in_tumor"
"ENSG00000091138.14","ENSG00000091138","SLC26A3",36537.5310271504,-3.72750126027246,0.805562332361622,-4.62720401703088,3.7063536683426e-06,0.00304470365313578,"down_in_tumor"
"ENSG00000169876.14","ENSG00000169876","MUC17",500.61372789157,-2.74689826874346,0.594020947810572,-4.6242447827268,3.75965674696836e-06,0.00304470365313578,"down_in_tumor"
"ENSG00000184809.14","ENSG00000184809","",1165.43086560426,-3.34811332941376,0.729041058641013,-4.59248939374538,4.37989776842169e-06,0.00304470365313578,"down_in_tumor"
"ENSG00000196660.13","ENSG00000196660","SLC30A10",363.229249501555,-3.63498608048852,0.793582084997432,-4.58047900678136,4.63912183790982e-06,0.00304470365313578,"down_in_tumor"
"ENSG00000150667.9","ENSG00000150667","FSIP1",186.945992741358,-8.57926939088571,1.89008342229939,-4.53909562385801,5.64960129873202e-06,0.00336027692246146,"down_in_tumor"
"ENSG00000269404.7","ENSG00000269404","SPIB",1323.96730904865,-3.72207120763226,0.819011053734403,-4.54459215252458,5.50417234120812e-06,0.00336027692246146,"down_in_tumor"
"ENSG00000152785.9","ENSG00000152785","BMP3",987.918140265307,-3.65278102203797,0.809097372038439,-4.51463711077835,6.34252770267256e-06,0.00365810090196869,"down_in_tumor"
"ENSG00000104267.11","ENSG00000104267","CA2",13692.2052115713,-3.51443924732795,0.779659443686397,-4.50765943488214,6.55466739546742e-06,0.00366926425111563,"down_in_tumor"
"ENSG00000205364.5","ENSG00000205364","MT1M",395.759740021562,-3.8364205071287,0.853601421622691,-4.49439329638848,6.97685765546766e-06,0.00379401519304331,"down_in_tumor"
"ENSG00000257524.6","ENSG00000257524","",511.394358507168,-2.9466252956023,0.657224227578508,-4.48343985500796,7.34493114333694e-06,0.00388322429030922,"down_in_tumor"
"ENSG00000071203.10","ENSG00000071203","MS4A12",8968.87435994238,-3.39721116411962,0.763626985805783,-4.4487835386473,8.63579930813891e-06,0.00432539916399494,"down_in_tumor"
"ENSG00000176595.5","ENSG00000176595","KBTBD11",456.673964900986,-1.62898089138402,0.366668185424798,-4.44265675653531,8.88548537834655e-06,0.00433634469759154,"down_in_tumor"
"ENSG00000307451.1","ENSG00000307451","",1017.5091645489,-3.27344546413496,0.739563099255574,-4.42618820142585,9.59128512963828e-06,0.00448941724140675,"down_in_tumor"
"ENSG00000112183.15","ENSG00000112183","RBM24",112.312915922702,-2.92379218964735,0.662689063050677,-4.4120121376196,1.02414370668223e-05,0.00459560679807671,"down_in_tumor"
