"AMC_2_normal","AMC_2_tumor","AMC_3_normal","AMC_3_tumor","AMC_5_normal","AMC_5_tumor"
-0.839007949623239,0.879669211663079,-0.80187483145948,1.3275611316357,-0.974712339089071,0.408364776873006
-0.676226063583439,1.44144492950532,-0.660073893893785,1.12543992898,-0.667602333397774,-0.562982567610317
-0.151200155807257,1.91936710803245,-0.813156058853977,0.0571670951819852,-0.747362101365569,-0.264815887187631
-0.516209817268304,1.63103530173594,-0.614800359076868,0.869541974746034,-0.710391369110101,-0.659175731026699
-0.788791709511203,1.24927655482178,-0.93420876709171,1.27345269577035,-0.437975302295152,-0.361753471694063
-0.779350763454561,1.28846239615207,-0.650790421605038,1.26330563797141,-0.765733334681187,-0.355893514382698
-1.05638385702678,1.18130362960455,-0.911719448109942,1.22692592908835,-0.386104889943923,-0.0540213636122517
-0.908640029167361,1.33412656614158,-0.682416301649136,1.21227321319845,-0.515359244720378,-0.43998420380315
-0.414643878586018,1.21753696089119,-0.577317588480959,1.33468806340132,-0.863123327147821,-0.697140230077718
-0.626313280226835,1.3077346342987,-0.687148611052194,1.26983163217954,-0.715527566644946,-0.548576808554269
-0.523490228522793,1.07897277841582,-0.19226378528907,1.40194302697238,-0.909673651721695,-0.855488139854642
-1.03384232111427,0.797572303538978,-0.740575894501336,1.56168170214984,-0.553884557040794,-0.0309512330324219
-0.573155292075562,0.826300170004067,-0.657845799569657,1.66261470325105,-0.613165251292935,-0.644748530316963
-0.606944086432408,0.361544176985142,-0.999720171637676,1.36603484222797,-0.962705373792242,0.841790612649214
-0.718248187018416,0.908954657967781,-0.286775627077382,1.57178186234558,-0.828184900294267,-0.647527805923296
-0.845024672872636,1.51972438509585,-1.01333857992169,0.892204573052192,-0.265174175389504,-0.28839152996421
-0.945317441958674,1.24831735290521,-0.71408516598375,1.28597532108638,-0.408185369599883,-0.466704696449272
-0.511510838019646,1.40088922995343,-0.577909173374903,1.16357719460208,-0.730661463708377,-0.744384949452588
-0.850338962813149,1.1995735955741,-0.919915499823186,1.3104649650714,-0.350609546636506,-0.389174551372654
-0.911158838320953,1.03220855000344,-1.22685011211325,0.377262487636334,-0.407567539659474,1.1361054524539
0.612313380031808,-0.89887772786894,0.921880448284329,-0.89887772786894,1.16243935529068,-0.89887772786894
0.895173625741055,-1.57947034877586,1.03652243383607,-0.743317843558025,0.178799476186035,0.212292656570727
0.999859604476944,-1.01501082765557,0.412487512267768,-1.26110729568762,1.07858715636025,-0.21481614976178
0.988790114537282,-1.44399520930316,1.046627541717,-0.891771287164865,0.176461225749174,0.12388761446457
0.628741674924645,-1.01138492290593,0.173658238786698,-1.46592908403016,0.835158048342943,0.839756044881802
0.809153387587857,-1.10386820691946,0.904657767491615,-1.40997528635933,0.38810143875878,0.411930899440539
0.984940852736964,-1.33236857701472,0.836029119687371,-1.097852118657,0.591738846416647,0.0175118768307426
0.608647194735762,-1.36256538302231,0.833387395612122,-1.19951403486506,0.638589233984044,0.481455593555438
0.866147415742497,-1.1357589902334,1.29471164361278,-1.12729408364843,0.112530592820374,-0.0103365782938248
0.923732205600557,-1.38068062515923,1.03535557226138,-1.03165942748061,0.199805659873812,0.253446614904091
0.754879559918546,-1.43486235651002,0.701778670077474,-1.12634403794936,0.56147599720188,0.543072167261478
0.590602231413083,-1.52791233039057,0.908653873429843,-0.987229887209289,0.494052305033725,0.521833807723206
1.29212686818132,-1.22333278584793,1.06201872178685,-0.804275130723391,-0.109373687594553,-0.217163985802305
0.735484471184662,-1.03814994669864,0.424015863689185,-1.50024502174059,0.682115957405182,0.696778676160193
0.690778485479734,-0.566023213809255,0.27559979693138,-1.51206739729898,1.33758104961692,-0.225868720919806
1.48340095596306,-0.559169008279931,1.00489495126411,-0.940631979603875,-0.26655453365764,-0.72194038568573
0.527310158325862,-1.40123443660397,0.675624293792955,-1.16914276395114,0.674414747184958,0.693028001251335
0.941688684755785,-1.38303795387164,0.882261634580637,-1.09806022721463,0.314700780390647,0.342447081359205
0.77286460335013,-1.04629354070595,0.845516961983113,-1.4767614518579,0.413543622076635,0.491129805153975
0.952501617434552,-1.32344960806141,0.703978536718336,-1.2090717307435,0.443382255325085,0.432658929326937
